sample_index,position,ground_truth_log1p_signal,pred_standard,pred_qlayer
4210,0,0.0,-1.6461536884307861,-0.15537211298942566
4210,1,0.0,-1.9318013191223145,-0.2332313358783722
4210,2,0.0,-1.7721744775772095,-0.16644826531410217
4210,3,0.0,-2.9151482582092285,-0.10343185067176819
4210,4,0.0,-2.5247883796691895,0.16490885615348816
4210,5,0.0,-3.395541191101074,0.3756850063800812
4210,6,0.0,-3.4167041778564453,-0.10696813464164734
4210,7,0.0,-2.3440239429473877,-0.2045057713985443
4210,8,0.0,-1.8298388719558716,-0.19405636191368103
4210,9,0.0,-1.737201452255249,-0.19477269053459167
4210,10,0.0,-1.7956516742706299,0.01789453625679016
4210,11,0.0,-1.044626235961914,-0.23017582297325134
4210,12,0.0,-1.7656276226043701,-0.17517217993736267
4210,13,0.0,-1.7220065593719482,-0.16805633902549744
4210,14,0.0,-2.6004531383514404,0.027073532342910767
4210,15,0.0,-2.998708724975586,-0.21913310885429382
4210,16,0.0,-1.6707133054733276,-0.16047295928001404
4210,17,0.0,-2.1151211261749268,-0.23062679171562195
4210,18,0.0,-1.8050711154937744,-0.19521352648735046
4210,19,0.0,-1.8762565851211548,-0.18068966269493103
4210,20,0.0,-2.2680840492248535,-0.12776216864585876
4210,21,0.0,-2.4771101474761963,-0.19352814555168152
4210,22,0.0,-2.082585096359253,-0.11600551009178162
4210,23,0.0,-1.2068061828613281,-0.09668216109275818
4210,24,0.0,-0.927669107913971,0.21413615345954895
4210,25,0.0,-0.4622167944908142,-0.20657989382743835
4210,26,0.0,-1.7072514295578003,-0.24521991610527039
4210,27,0.0,-1.6099913120269775,-0.20325586199760437
4210,28,0.0,-1.2411693334579468,-0.1252877414226532
4210,29,0.0,-1.4223488569259644,-0.25785765051841736
4210,30,0.0,-2.275365114212036,-0.24584421515464783
4210,31,0.0,-2.0565567016601562,-0.13873395323753357
4210,32,0.0,-0.9894236922264099,-0.2806273400783539
4210,33,0.0,-1.5816004276275635,-0.31713971495628357
4210,34,0.0,-1.8148999214172363,-0.23389169573783875
4210,35,0.0,-2.3788814544677734,-0.18076440691947937
4210,36,0.0,-2.9579262733459473,-0.2633166015148163
4210,37,0.0,-2.5245485305786133,-0.18285724520683289
4210,38,0.0,-2.741663932800293,-0.006772488355636597
4210,39,0.0,-2.8591344356536865,-0.10195514559745789
4210,40,0.0,-2.6932780742645264,-0.3950609862804413
4210,41,0.0,-1.8929041624069214,-0.3247600495815277
4210,42,0.0,-1.538508415222168,0.05505815148353577
4210,43,0.0,-0.35658007860183716,0.20543339848518372
4210,44,0.0,-0.010605260729789734,-0.08725103735923767
4210,45,0.0,-0.876239538192749,-0.21957537531852722
4210,46,0.0,-0.6021806001663208,-0.09396716952323914
